板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,浙江英特集团股份有限公司,浙江省杭州市下城区东新路江南巷2号3幢,411,英特集团,1996/7/16,248939935,207324696,华东,浙江,杭州市,批发零售
主板,东旭光电科技股份有限公司,河北省石家庄市高新技术产业开发区黄河大道9号,413,东旭光电,1996/9/25,5480250117,4864154314,华北,河北,石家庄市,制造业
主板,渤海租赁股份有限公司,新疆维吾尔自治区乌鲁木齐市沙依巴克区黄河路93号,415,渤海租赁,1996/7/16,6184521282,3547396604,西北,新疆,乌鲁木齐市,商务服务
主板,民生控股股份有限公司,山东省青岛市崂山区株州路151号,416,民生控股,1996/7/19,531871494,531641098,华东,山东,青岛市,金融业
主板,合肥百货大楼集团股份有限公司,安徽省合肥市长江中路150号,417,合肥百货,1996/8/12,779884200,779027451,华东,安徽,合肥市,批发零售
主板,长沙通程控股股份有限公司,湖南省长沙市雨花区劳动西路589号,419,通程控股,1996/8/16,543582655,543299845,华中,湖南,长沙市,批发零售
主板,吉林化纤股份有限公司,吉林省吉林市经开区昆仑街216号,420,吉林化纤,1996/8/2,1970706656,1969669550,东北,吉林,吉林市,制造业
主板,南京公用发展股份有限公司,江苏省南京市建邺区白龙江东街8号（新城科技园科技创新综合体A4号楼）,421,南京公用,1996/8/6,572646934,572646184,华东,江苏,南京市,水电煤气
主板,湖北宜化化工股份有限公司,湖北省宜昌市猇亭大道399号,422,ST宜化,1996/8/15,897866712,897812984,华中,湖北,宜昌市,制造业
主板,东阿阿胶股份有限公司,山东省东阿县阿胶街78号,423,东阿阿胶,1996/7/29,654021537,653866788,华东,山东,聊城市,制造业
